time,value
2025-06-05T20:35:34.211791727Z,372
2025-06-05T20:36:18.863534319Z,373
2025-06-05T20:37:03.503926601Z,376
2025-06-05T20:37:48.164816482Z,374
2025-06-05T20:38:32.791809589Z,373
2025-06-05T20:40:02.06674564Z,374
2025-06-05T20:40:46.729574213Z,372
2025-06-05T20:41:31.390095549Z,371
2025-06-05T20:42:16.07642714Z,373
2025-06-05T20:43:00.708151686Z,380
2025-06-05T20:43:45.348263203Z,374
2025-06-05T20:44:29.992423122Z,380
2025-06-05T20:45:14.623548475Z,374
2025-06-05T20:45:59.282433195Z,373
2025-06-05T20:47:28.59426781Z,372
2025-06-05T20:48:13.258212906Z,374
2025-06-05T20:48:57.913280154Z,375
2025-06-05T20:49:42.571117413Z,372
2025-06-05T20:50:27.217080789Z,378
2025-06-05T20:51:11.883336942Z,373
2025-06-05T20:51:56.548646208Z,372
2025-06-05T20:52:41.20249834Z,371
2025-06-05T20:53:25.854062041Z,374
2025-06-05T20:55:39.775109748Z,373
2025-06-05T20:56:24.434508959Z,372
2025-06-05T20:57:09.085807473Z,375
2025-06-05T20:58:38.365285203Z,371
2025-06-05T20:59:23.025683839Z,372
2025-06-05T21:01:36.958063315Z,373
2025-06-05T21:03:50.926643801Z,372
2025-06-05T21:05:20.224983762Z,376
2025-06-05T21:06:04.875240913Z,374
2025-06-05T21:06:49.533317838Z,379
2025-06-05T21:07:34.186882815Z,371
2025-06-05T21:08:18.832823825Z,374
2025-06-05T21:09:03.479976512Z,372
2025-06-05T21:09:48.110691619Z,374
2025-06-05T21:10:32.762266788Z,376
2025-06-05T21:11:17.401907747Z,375
2025-06-05T21:12:02.067348605Z,371
2025-06-05T21:12:46.729310296Z,381
2025-06-05T21:13:31.370548879Z,371
2025-06-05T21:14:16.045471395Z,381
2025-06-05T21:15:00.681674528Z,371
2025-06-05T21:15:45.344837019Z,374
2025-06-05T21:16:29.986858575Z,379
2025-06-05T21:17:14.655676547Z,374
2025-06-05T21:17:59.304046434Z,371
2025-06-05T21:18:43.960551891Z,374
2025-06-05T21:19:28.595298306Z,376
2025-06-05T21:20:13.256668184Z,372
2025-06-05T21:20:57.904418358Z,373
2025-06-05T21:21:42.553329507Z,372
2025-06-05T21:22:27.189138691Z,375
2025-06-05T21:23:11.823980062Z,374
2025-06-05T21:23:56.46522042Z,373
2025-06-05T21:24:41.101713953Z,375
2025-06-05T21:25:25.744284203Z,373
2025-06-05T21:26:55.039905463Z,372
2025-06-05T21:27:39.688002337Z,371
2025-06-05T21:28:24.344448826Z,373
2025-06-05T21:29:08.976699313Z,375
2025-06-05T21:29:53.635606048Z,371
2025-06-05T21:30:38.293470425Z,373
2025-06-05T21:32:07.581946831Z,372
2025-06-05T21:32:52.24358998Z,375
2025-06-05T21:33:36.882787154Z,372
2025-06-05T21:34:21.522032712Z,374
2025-06-05T21:35:06.183108856Z,372
2025-06-05T21:35:50.825476739Z,373
2025-06-05T21:36:35.487928991Z,374
2025-06-05T21:37:20.112716197Z,372
2025-06-05T21:38:04.759034358Z,373
2025-06-05T21:38:49.406689964Z,375
2025-06-05T21:39:34.049548685Z,373
2025-06-05T21:41:47.970790629Z,372
2025-06-05T21:44:46.50563909Z,374
2025-06-05T21:46:15.737659233Z,379
2025-06-05T21:47:00.383033981Z,375
2025-06-05T21:49:14.247081409Z,373
2025-06-05T21:49:58.896420053Z,375
2025-06-05T21:50:43.544994211Z,376
2025-06-05T21:51:28.187798786Z,373
2025-06-05T21:52:57.485236494Z,374
2025-06-05T21:53:42.142002656Z,373
2025-06-05T21:54:26.795741902Z,374
2025-06-05T21:55:11.431699Z,371
2025-06-05T21:55:56.095115121Z,374
2025-06-05T21:56:40.761558992Z,372
2025-06-05T21:57:25.421507935Z,373
2025-06-05T21:58:10.07656073Z,372
2025-06-05T21:58:54.735151701Z,375
2025-06-05T21:59:39.397169179Z,371
2025-06-05T22:00:24.041677951Z,373
2025-06-05T22:01:53.30505452Z,372
2025-06-05T22:02:37.968328708Z,373
2025-06-05T22:03:22.620198217Z,374
2025-06-05T22:04:07.275533322Z,373
2025-06-05T22:04:51.932717548Z,371
2025-06-05T22:05:36.601589483Z,373
2025-06-05T22:07:05.896596995Z,372
2025-06-05T22:08:35.188598348Z,375
2025-06-05T22:09:19.848669078Z,374
2025-06-05T22:10:04.507055857Z,373
2025-06-05T22:10:49.153194987Z,374
2025-06-05T22:11:33.78049826Z,373
2025-06-05T22:12:18.425103734Z,375
2025-06-05T22:13:03.076354825Z,374
2025-06-05T22:14:32.348388531Z,372
2025-06-05T22:15:16.984642117Z,373
2025-06-05T22:16:01.641486784Z,372
2025-06-05T22:17:30.919106853Z,373
2025-06-05T22:19:00.193944536Z,371
2025-06-05T22:19:44.843865297Z,375
2025-06-05T22:20:29.510868447Z,373
2025-06-05T22:21:58.762068051Z,372
2025-06-05T22:23:28.048636393Z,373
2025-06-05T22:24:57.308627214Z,372
2025-06-05T22:25:41.973604806Z,375
2025-06-05T22:26:26.63411698Z,373
2025-06-05T22:27:55.925723119Z,374
2025-06-05T22:30:09.838933015Z,373
2025-06-05T22:30:54.487055232Z,375
2025-06-05T22:31:39.120531003Z,372
2025-06-05T22:32:23.766788635Z,373
2025-06-05T22:33:53.066418986Z,372
2025-06-05T22:34:37.729166378Z,373
2025-06-05T22:35:22.360320591Z,375
2025-06-05T22:36:07.000263054Z,373
2025-06-05T22:36:51.639911013Z,372
2025-06-05T22:37:36.305702472Z,373
2025-06-05T22:39:05.597624635Z,372
2025-06-05T22:39:50.239816811Z,375
2025-06-05T22:40:34.890086024Z,374
2025-06-05T22:41:19.554595257Z,373
2025-06-05T22:42:04.199092297Z,371
2025-06-05T22:42:48.844044887Z,373
2025-06-05T22:43:33.508716957Z,372
2025-06-05T22:44:18.145280154Z,373
2025-06-05T22:45:02.810326107Z,372
2025-06-05T22:46:32.110856664Z,371
2025-06-05T22:47:16.774713232Z,375
2025-06-05T22:48:01.417953151Z,373
2025-06-05T22:48:46.073579044Z,380
2025-06-05T22:49:30.730109194Z,373
2025-06-05T22:50:15.389269214Z,374
2025-06-05T22:51:44.670969931Z,373
2025-06-05T22:52:29.320302104Z,372
2025-06-05T22:53:13.985785443Z,374
2025-06-05T22:53:58.636849031Z,372
2025-06-05T22:54:43.282639503Z,373
2025-06-05T22:55:27.927376939Z,374
2025-06-05T22:56:12.587612392Z,372
2025-06-05T22:56:57.243147068Z,373
2025-06-05T22:57:41.882494213Z,374
2025-06-05T22:58:26.539929091Z,377
2025-06-05T22:59:11.203614517Z,373
2025-06-05T22:59:55.857601178Z,372
2025-06-05T23:01:25.130999624Z,374
2025-06-05T23:02:09.777009457Z,373
2025-06-05T23:02:54.423025276Z,371
2025-06-05T23:03:39.080071378Z,375
2025-06-05T23:04:23.710054853Z,373
2025-06-05T23:05:08.372400327Z,371
2025-06-05T23:05:53.013471954Z,372
2025-06-05T23:06:37.681150783Z,373
2025-06-05T23:07:22.407097044Z,375
2025-06-05T23:08:06.972663591Z,373
2025-06-05T23:08:51.628965885Z,374
2025-06-05T23:11:05.540146576Z,373
2025-06-05T23:11:50.192978261Z,374
2025-06-05T23:12:34.85282573Z,373
2025-06-05T23:13:19.49444399Z,371
2025-06-05T23:14:04.120899463Z,373
2025-06-05T23:15:33.390152671Z,372
2025-06-05T23:17:02.701462406Z,374
2025-06-05T23:18:31.953787873Z,373
2025-06-05T23:20:01.235139281Z,374
2025-06-05T23:20:45.882415468Z,372
2025-06-05T23:21:30.529370541Z,373
2025-06-05T23:22:59.797089221Z,371
2025-06-05T23:23:44.44972144Z,375
2025-06-05T23:24:29.103264926Z,374
2025-06-05T23:25:13.743493753Z,372
2025-06-05T23:25:58.402935471Z,374
2025-06-05T23:26:43.024432545Z,372
2025-06-05T23:28:12.304756718Z,373
2025-06-05T23:30:26.166904348Z,375
2025-06-05T23:31:10.825101279Z,371
2025-06-05T23:31:55.485665772Z,375
2025-06-05T23:32:40.125713105Z,373
2025-06-05T23:34:09.430535193Z,374
2025-06-05T23:36:23.365954997Z,375
2025-06-05T23:37:08.034220886Z,374
2025-06-05T23:37:52.679141985Z,379
2025-06-05T23:38:37.33732344Z,374
2025-06-05T23:39:21.980698816Z,373
2025-06-05T23:40:06.628784692Z,369
2025-06-05T23:40:51.292877903Z,372
2025-06-05T23:41:35.94830244Z,371
2025-06-05T23:42:20.589534916Z,373
2025-06-05T23:43:49.898735241Z,374
2025-06-05T23:44:34.541622632Z,371
2025-06-05T23:45:19.182962141Z,374
2025-06-05T23:46:03.827740771Z,375
2025-06-05T23:46:48.456863198Z,374
2025-06-05T23:47:33.081296988Z,373
2025-06-05T23:49:02.352983822Z,374
2025-06-05T23:49:47.007218341Z,372
2025-06-05T23:50:31.64616938Z,373
2025-06-05T23:51:16.289387672Z,372
2025-06-05T23:52:00.937984262Z,373
2025-06-05T23:52:45.565886325Z,374
2025-06-05T23:53:30.203360201Z,375
2025-06-05T23:54:14.844009241Z,373
2025-06-05T23:54:59.492712109Z,372
2025-06-05T23:55:44.152475284Z,375
2025-06-05T23:56:28.811424879Z,372
2025-06-05T23:57:13.456140886Z,373
2025-06-05T23:57:58.087105828Z,372
2025-06-05T23:58:42.74764638Z,373
2025-06-05T23:59:27.412138506Z,372
2025-06-06T00:01:41.318824223Z,373
2025-06-06T00:02:25.97654843Z,372
2025-06-06T00:03:55.277899944Z,373
2025-06-06T00:04:39.941692291Z,374
2025-06-06T00:07:38.509595956Z,373
2025-06-06T00:09:07.751329564Z,372
2025-06-06T00:09:52.407070359Z,374
2025-06-06T00:10:37.065399402Z,370
2025-06-06T00:11:21.723422533Z,373
2025-06-06T00:12:06.375465613Z,374
2025-06-06T00:13:35.640947892Z,373
2025-06-06T00:15:04.926092659Z,377
2025-06-06T00:15:49.609328785Z,379
2025-06-06T00:16:34.210888952Z,378
2025-06-06T00:17:18.866260024Z,373
2025-06-06T00:18:03.516733038Z,372
2025-06-06T00:18:48.178097072Z,373
2025-06-06T00:19:32.813454236Z,370
2025-06-06T00:20:17.469946211Z,371
2025-06-06T00:21:02.12908472Z,372
2025-06-06T00:24:00.687647466Z,373
2025-06-06T00:24:45.332819284Z,372
2025-06-06T00:25:29.971179613Z,373
2025-06-06T00:26:14.631088272Z,372
2025-06-06T00:27:43.911919636Z,379
